scn_name,Projekt,Projekt_id,Maßnahme,Startpunk,Endpunkt,Spannung,s_nom,cables,NOVA-Typ,Art,Bundesländer,NOVA-Kategorie,TYNDP,PCI,EnLAG / BBP,Trassenlänge in km,,anvisierte Inbetriebnahme,Umsetzungsstand,ÜNB,M-Nr.,Szenario,,,,Anmerkung
TTG-P67,BBP,32,"Simbach – Matzenhof - Bundesgrenze AT
",Simbach,Matzenhof,380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BY,NV,x,x,BBP Nr. 32,,13,"2024,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P67,BBP,32,"Simbach – Matzenhof - Bundesgrenze AT
",Matzenhof,Bundesgrenze AT,380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BY,NV,x,x,BBP Nr. 32,,13,"2024,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P67,BBP,32,Altheim – Adlkofen,Altheim,Adlkofen,380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BY,NV,x,x,BBP Nr. 32,,7,"2024,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P67,BBP,32,Adlkofen – Matzenhof,Altheim,Adlkofen,380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BY,NV,x,x,BBP Nr. 32,,66,"2024,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P69,BBP,34,Emden / Ost – Conneforde,Emden / Ost,Conneforde,380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NI,NV,x,,BBP Nr. 34,,61,"2021,
2022",4: Genehmigt oder im Bau,,,,,,,
TTG-P72,BBP,42,Kreis Segeberg – Lübeck / West,Kreis Segeberg,Lübeck / West,380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,SH,NV,x,,BBP Nr. 42,,50,2025,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P118,BBP,43,Borken – Mecklar,Borken,Mecklar,380,,6,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,HE,NV,,,BBP Nr. 43,,41,"2023,
2024",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P151,BBP,45,Borken – Twistetal,Borken,Twistetal,380,,6,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,HE,NV,,,BBP Nr. 45,,43,"2022,
2023","3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,,,,
TTG-P185,BBP,46,Redwitz – Landes- grenze BY / TH (Punkt Tschirn),Redwitz,Landes- grenze BY / TH (Punkt Tschirn),380,,6,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,BY,NV,,,BBP Nr. 46,,38,2021,4: Genehmigt oder im Bau,,,,,,,Stromtragfähigkeiterhöht
TNG-P47,BBP,19,Weinheim – Daxlanden,Weinheim,Daxlanden,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BW,NV,,,BBP Nr. 19,,76,"2028,
2031",2: Im ROV/BFP,,,,,,,
TNG-P47,BBP,19,Weinheim – Mannheim (G380),Weinheim,Mannheim (G380),380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BW,NV,,,BBP Nr. 19,,17,"2028,
2031",2: Im ROV/BFP,,,,,,,
TNG-P47,BBP,19,Mannheim (G380) – Altlußheim,Mannheim (G380),Altlußheim,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BW,NV,,,BBP Nr. 19,,22.5,"2028,
2031",2: Im ROV/BFP,,,,,,,
TNG-P47,BBP,19,Altlußheim – Daxlanden,Altlußheim,Daxlanden,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BW,NV,,,BBP Nr. 19,,42,"2028,
2031",2: Im ROV/BFP,,,,,,,Bestehende Leitung erneuert
TNG-P48,BBP,20,Punkt Rittershausen – Kupferzell,Punkt Rittershausen,Kupferzell,380,,3,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,"BY, BW",NV,,,BBP Nr. 20,,51,2025,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TNG-P48,BBP,20,Kupferzell – Großgartach,Kupferzell,Großgartach,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BW,NV,,,BBP Nr. 20,,48,2025,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,Ersatzneubau
TNG-P49,BBP,21,Daxlanden – Bühl/ Kuppenheim – Weier – Eichstetten,Daxlanden,Bühl/ Kuppenheim,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BW,NV,,,BBP Nr. 21,,119,"2028,
2029",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TNG-P49,BBP,21,Daxlanden – Bühl/ Kuppenheim – Weier – Eichstetten,Bühl/ Kuppenheim,Weier,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BW,NV,,,BBP Nr. 21,,119,"2028,
2029",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TNG-P49,BBP,21,Daxlanden – Bühl/ Kuppenheim – Weier – Eichstetten,Weier,Eichstetten,380,,,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BW,NV,,,BBP Nr. 21,,119,"2028,
2029",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TNG-P70,BBP,35,Birkenfeld – Mast 115A,Birkenfeld,Mast 115A,380/110,,,"Errichtung einer Leitung: Neubau in neuer Trasse, Errichtung einer
Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,BW,NVA,,,BBP Nr. 35,11.5,14.2,"2021,
2022",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
DC1,BBP,1,Emden / Ost – Osterath,Emden / Ost,Osterath,,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,"NI, NW",NA,x,,BBP Nr. 1,300,,"2025,
2027",3: vor oder im PFV/ Genehmigung nach BImSchG,AMP,,,,,,Nur Leistungsanagbe 2 GW (Nennleistung)
DC2,BBP,2,Osterath – Philippsburg (Ultranet),Osterath,Philippsburg (Ultranet),380,,,"Errichtung einer Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,"NW,
HE, BW",NV,x,x,BBP Nr. 2,,340,"2023/
2024,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,"AMP, TNG",,,,,,Nur Leistungsanagbe 2 GW (Nennleistung)
DC3,BBP,3,Brunsbüttel – Großgartach (SuedLink),Brunsbüttel,Großgartach (SuedLink),,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,"SH,
NI,
HE,
TH,
BY, BW",NA,x,x,BBP Nr. 3,689,,"2026,
2028",3: vor oder im PFV/ Genehmigung nach BImSchG,"TTG, TNG",,,,,,Nur Leistungsanagbe 2 GW (Nennleistung)
DC4,BBP,4,Wilster / West – Bergrheinfeld / West (SuedLink),Wilster / West,Bergrheinfeld / West (SuedLink),,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,"SH,
NI,
HE,
TH, BY",NA,x,x,BBP Nr. 4,538,,"2026,
2028",3: vor oder im PFV/ Genehmigung nach BImSchG,"TTG, TNG",,,,,,Nur Leistungsanagbe 2 GW (Nennleistung)
DC5,BBP,5,Wolmirstedt – Isar,Wolmirstedt,Isar,,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,"ST,
TH,
SN, BY",NA,x,x,BBP Nr. 5,539,,"2025,
2027",3: vor oder im PFV/ Genehmigung nach BImSchG,"50HzT, TTG",,,,,,Nur Leistungsanagbe 2 GW (Nennleistung)
DC1a,BBPIG,1,Emden / Ost – Osterath,Emden / Ost,Osterath,,,,Optimierung,Leitung,"NI, NW",NO,x,,,,300,"2025,
2027",3: Vor oder im PFV/ Genehmigung nach BImSchG,AMP,DC1a,x,x,x,x,HVDC 2.4 GW
DC20,BBPIG,5a,"Klein Rogahn – Isar
",Klein Rogahn,Isar,,,,"Errichtung einer Leitung: Neubau in neuer Trasse, Errichtung einer Leitung: Paral- lelneubau",Leitung,"MV,
NI,
ST,
SN,
TH, BY",NVA,,,,220,539,"2030,
2032",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren 3: Vor oder im PFV/ Genehmigung nach BImSchG,"50HzT, TTG",DC20,x,x,x,x,HVDC 2 GW
DC21,BBPIG,49,"Wilhelmshaven 2 - Region Hamm
",Wilhelmshaven 2,Region Hamm,,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,"NI, NW",NA,x,,,267,,"2030,
2031",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,"AMP, TTG",DC21b,x,x,x,x,HVDC 2 GW
DC25,BBPIG,48,Heide / West – Polsum,Heide / West,Polsum,,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,"SH,
NI, NW",NA,x,,,407,,"2030,
2031",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,"AMP, TTG",DC25,x,x,x,x,HVDC 2 GW
DC31,,,Heide / West – Klein Rogahn,Heide / West,Klein Rogahn,,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,"SH, MV",NA,,,,212,,2035,,"50HzT, TTG",DC31,x,x,x,x,HVDC 2 GW
DC34,,,Suchraum Rastede – Bürstadt,Suchraum Rastede,Bürstadt,,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,"NI, HE",NA,,,,528,,2035,,"AMP, TTG",DC34,,,x,x,
P20,BBPIG,37,Emden / Ost – Halbemond,Emden / Ost,Halbemond,380,,6,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,NI,NA,x,,,30,,2030,1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M69,x,x,x,x,4000A
P22,BBPIG,55,Elsfleth / West – Ganderkesee (über Niedervieland),Elsfleth / West,Ganderkesee (über Niedervieland),380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,"NI, HB",NV,,,,,36,"2030,
2031",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M80,x,x,x,x,4000A
P22,BBPIG,54,Conneforde – Unterweser,Conneforde,Unterweser,380,,,Änderung oder Erweiterung einer Leitung: Spannungs- umstellung,Leitung,NI,NO,,,,,32,2025,3: Vor oder im PFV/ Genehmigung nach BImSchG,TTG,M92,x,x,x,x,
P23,BBPIG,38,Dollern – Elsfleth / West,Dollern,Elsfleth / West,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,NI,NV,x,,,,100,"2028,
2029",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M20,x,x,x,x,each 4000A
P26,BBPIG,50,Brunsbüttel – Büttel,Brunsbüttel,Büttel,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,SH,NV,,,,,3,"2029,
2030",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M432,x,x,x,x,
P26,BBPIG,50,Büttel – Wilster/West,Büttel,Wilster/West,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,SH,NV,,,,,8,"2029,
2030",1: Vorbereitung Planungs- und Genehmigungsver- fahren,TTG,M76,x,x,x,x,
P26,BBPIG,50,Wilster / West – Stade / West,Wilster/West,Stade / West,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,"SH, NI",NV,,,,,44,"2029,
2030",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M89,x,x,x,x,
P33,BBPIG,10,"Wolmirstedt – Helmstedt – Gleidingen / Hallendorf – Kreuzung M24b/ TTG-006 –
Mehrum / Nord",Wolmirstedt,Helmstadt,380,,6,Errichtung einer Leitung: Paral- lelneubau,Leitung,"ST, NI",NV,,,,,146,"2027,
2028
","1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren, 3: Vor oder im PFV/ Genehmigung nach BImSchG","50HzT, TTG",M24b,x,x,x,x,"4000A, ( 2027,
2028
(50HzT)
2031,
2032
(TTG))"
P33,BBPIG,10,"Wolmirstedt – Helmstedt – Gleidingen / Hallendorf – Kreuzung M24b/ TTG-006 –
Mehrum / Nord",Helmstadt,Gleidingen / Hallendorf,380,,6,Errichtung einer Leitung: Paral- lelneubau,Leitung,"ST, NI",NV,,,,,146,"2027,
2028
","1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren, 3: Vor oder im PFV/ Genehmigung nach BImSchG","50HzT, TTG",M24b,x,x,x,x,"4000A , (2027,
2028
(50HzT)
2031,
2032
(TTG))"
P33,BBPIG,10,"Wolmirstedt – Helmstedt – Gleidingen / Hallendorf – Kreuzung M24b/ TTG-006 –
Mehrum / Nord",Gleidingen / Hallendorf,Kreuzung M24b/ TTG-006,380,,6,Errichtung einer Leitung: Paral- lelneubau,Leitung,"ST, NI",NV,,,,,146,"2027,
2028
","1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren, 3: Vor oder im PFV/ Genehmigung nach BImSchG","50HzT, TTG",M24b,x,x,x,x,"4000A, ( 2027, 2028 (50HzT) 2031, 2032 (TTG))"
P33,BBPIG,10,"Wolmirstedt – Helmstedt – Gleidingen / Hallendorf – Kreuzung M24b/ TTG-006 –
Mehrum / Nord",Kreuzung M24b/ TTG-006,Mehrum / Nord,380,,6,Errichtung einer Leitung: Paral- lelneubau,Leitung,"ST, NI",NV,,,,,146,"2031,
2032
","1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren, 3: Vor oder im PFV/ Genehmigung nach BImSchG","50HzT, TTG",M24b,x,x,x,x,"4000A, ( 2027, 2028 (50HzT) 2031, 2032 (TTG))"
P37,BBPIG,12,Vieselbach – Landesgrenze TH/HE,Vieselbach,Thuringia/Hesse,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,TH,NV,,,,,87,"2026,
2027",3: Vor oder im PFV/ Genehmigung nach BImSchG,50HzT,M25a,x,x,x,x,
P37,BBPIG,12,Landesgrenze TH/HE – Mecklar,Thuringia/Hesse,Mecklar,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,HE,NV,,,,,43,"2024,
2026",3: Vor oder im PFV/ Genehmigung nach BImSchG,TTG,M25b,x,x,x,x,
P43,BBPIG,17,Mecklar – Dipperz,Mecklar,Dipperz,380,,6,Errichtung einer Leitung: Paral- lelneubau,Leitung,HE,NV,x,,,,50,2031,1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M74a,x,x,x,x,each 4000A
P43,BBPIG,17,Dipperz – Bergrheinfeld / West,Dipperz,Bergrheinfeld / West,380,,6,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,"HE, BY",NA,x,,,80,,2031,1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M74b,x,x,x,x,each 4000A
P51,BBPIG,22,Großgartach – Endersbach,Großgartach,Endersbach,380,,,"Errichtung einer Leitung: Ersatzneubau
Errichtung einer Leitung: Paral- lelneubau",Leitung,BW,NV,,,,,27,2030,1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TNG,M37,x,x,x,x,
P52,BBPIG,40,Punkt Neuravensburg – Punkt Bundes- grenze (AT),Neuravensburg,Sigmarszell/Bundes- grenze (AT),380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,"BW, BY",NV,x,,,,7,2030,1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,"AMP, TNG",M94b,x,x,x,x,
P53,BBPIG,41,"Raitersaich/West
– Ludersheim",Raitersaich/West,Ludersheim,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,BY,NV,,,,,45,"2029,
2030",2: Im ROV/BFP,TTG,M54,x,x,x,x,
P53,BBPIG,41,Ludersheim - Sittling - Suchraum Stadt Rottenburg/Gemeinde Neufahrn - Altheim,Ludersheim,Sittling,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,BY,NV,,,,,114,"2028,
2029",2: Im ROV/BFP,TTG,M350,x,x,x,x,4000A
P53,BBPIG,41,,Sittling,Suchraum Stadt Rottenburg/Gemeinde Neufahrn,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,BY,NV,,,,,114,"2028,
2029",2: Im ROV/BFP,TTG,M350,x,x,x,x,4000A
P53,BBPIG,41,,Suchraum Stadt Rottenburg/Gemeinde Neufahrn,Altheim,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,BY,NV,,,,,114,"2028,
2029",2: Im ROV/BFP,TTG,M350,x,x,x,x,4000A
P72,BBPIG,42,Lübeck / West – Siems,Lübeck / West,Siems,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,SH,NV,x,,,,14,2026,3: Vor oder im PFV/ Genehmigung nach BImSchG,TTG,M49,x,x,x,x,
P72,BBPIG,42,Abzweig Göhl,Siems,Göhl,380,,6,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,SH,NA,x,,,40,,2027,3: Vor oder im PFV/ Genehmigung nach BImSchG,TTG,M351,x,x,x,x,
P74,TYNDP,47,Vöhringen – Leupolz - Punkt Bundesgrenze (AT),Vöhringen,Leupolz,380,,,"Errichtung einer Leitung: Ersatzneubau,
Änderung oder Erweiterung einer Leitung:
Zu- oder Umbeseilung",Leitung,,,,,,,110,2030,1: Vorbereitung Planungs- und Genehmigungsverfahren,AMP,M96,,,,,between Bavarian Swabia and Austria
P74,TYNDP,47,Vöhringen – Leupolz - Punkt Bundesgrenze (AT),Leupolz,Punkt Bundesgrenze (AT),380,,,"Errichtung einer Leitung: Ersatzneubau,
Änderung oder Erweiterung einer Leitung:
Zu- oder Umbeseilung",Leitung,,,,,,,,2030,1: Vorbereitung Planungs- und Genehmigungsverfahren,,M96,,,,,between Bavarian Swabia and Austria
P84,BBPIG,51,"Hamburg / Nord
– Hamburg / Ost",Hamburg / Nord,Hamburg / Ost,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,HH,NV,,,,,31,"2030,
2032",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,50HzT,M367,x,x,x,x,
P84,BBPIG,51,Hamburg / Ost – Krümmel,Hamburg / Ost,Krümmel,380,,,Errichtung einer Leitung: Ersatz- neubau,Leitung,"HH, SH",NV,,,,,28,"2030,
2032",,50HzT,M368,x,x,x,x,
P112,BBPIG,32,Pleinting – Bundesgrenze DE / AT,Pleinting,St.Peter,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,BY,NV,x,,,,43,"2028,
2030",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M201,x,x,x,x,4000A
P112,BBPIG,32,Abzweig Pirach,St.Peter,Pirach,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,BY,NV,x,,,,27,"2028,
2030",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M212,x,x,x,x,
P113,BBPIG,58,Krümmel – Lüneburg – Stadorf,Krümmel,Lüneburg,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,"SH, NI",NV,,,,,54,"2030,
2031",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M202a,x,x,x,x,
P113,BBPIG,58,Krümmel – Lüneburg – Stadorf,Lüneburg,Stadorf,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,"SH, NI",NV,,,,,54,"2030,
2031",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M202a,x,x,x,x,
P113,BBPIG,58,Stadorf – Wahle,Stadorf,Wahle,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,NI,NV,,,,,86,"2030,
2031",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M203,x,x,x,x,
P116,BBPIG,57,"Dollern – Samtgemeinde Sottrum – Wechold
– Punkt Landesbergen",Dollern,Samtgemeinde Sottrum,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,NI,NV,,,,,118,"2032,
2033",,TTG,M206,x,x,x,x,4000A
P116,BBPIG,57,"Dollern – Samtgemeinde Sottrum – Wechold
– Punkt Landesbergen",Samtgemeinde Sottrum,Wechold,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,NI,NV,,,,,,"2032,
2033",,TTG,M206,x,x,x,x,4000A
P116,BBPIG,57,"Dollern – Samtgemeinde Sottrum – Wechold
– Punkt Landesbergen",Wechold,Punkt Landesbergen ,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,NI,NV,,,,,,"2032,
2033",,TTG,M206,x,x,x,x,4000A
P116,BBPIG,57,Punkt Landes- bergen – Oven- städt,Landesbergen (Steyerberg),Ovenstädt,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,"NI, NW",NV,,,,,20,"2032,
2033",,TTG,M494,x,x,x,x,4000A
P119,BBPIG,56,Conneforde – Suchraum Rastede – Elsfleth /West mit Anschluss Huntorf,Conneforde,Suchraum Rastede,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,NI,NV,,,,,26,"2030,
2031",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M90,x,x,x,x,each 4000A
P119,BBPIG,56,Conneforde – Suchraum Rastede – Elsfleth /West mit Anschluss Huntorf,Suchraum Rastede,Elsfleth /West mit Anschluss Huntorf,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,NI,NV,,,,,,"2030,
2031",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M90,x,x,x,x,each 4000A
P119,BBPIG,56,Elsfleth / West – Abzweig Blockland – Samtgemeinde Sottrum,Elsfleth / West,Abzweig Blockland,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,NI,NV,,,,,86,"2030,
2031",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M535,x,x,x,x,each 4000A
P119,BBPIG,56,Elsfleth / West – Abzweig Blockland – Samtgemeinde Sottrum,Abzweig Blockland,Samtgemeinde Sottrum,380,,6,Errichtung einer Leitung: Ersatz- neubau,Leitung,NI,NV,,,,,,"2030,
2031",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,TTG,M535,x,x,x,x,each 4000A
P124,BBPIG,60,Wolmirstedt – Klostermansfeld,Wolmirstedt,Klostermansfeld,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,ST,NV,,,,,117,"2028,
2029",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,50HzT,M209a,x,x,x,x,
P124,BBPIG,60,"Klostermansfeld
– Schraplau / Obhausen – Lauchstädt",Klostermansfeld, Schraplau / Obhausen,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,ST,NV,,,,,39,"2027,
2028",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,50HzT,M209b,x,x,x,x,
P124,BBPIG,60,"Klostermansfeld
– Schraplau / Obhausen – Lauchstädt", Schraplau / Obhausen,Lauchstädt,380,,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung,Leitung,ST,NV,,,,,,"2027,
2028",1: Vorbereitung Pla- nungs- und Geneh- migungsverfahren,50HzT,M209b,x,x,x,x,
