scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,cable/line,Projekt,Projekt_id,Maßnahme,Startpunkt,subst_name0,Endpunkt,subst_name1,Coordinate0,Coordinate1,Length type,Length,Trassenlänge in km,Trassenlänge in km.1,Spannung,NOVA-Typ,Art,s_nom.1,cables.1,Bundesländer,NOVA-Kategorie,TYNDP,PCI,EnLAG / BBP,anvisierte Inbetriebnahme,Umsetzungsstand,ÜNB,M-Nr.,Szenario,Anmerkung
50HzT-003,,,,,AC,,,,,,,,,1,2023,40,,120,6,,2,,,,,,line,EnLAG,3,Neuenhagen – Vierraden – Bertikow,Neuenhagen,,Vierraden,,,,Ausbau&Betand,,56,64,380,"Errichtung einer Leitung: Neubau in neuer Trasse,
Errichtung einer Lei-
tung: Ersatzneubau",Leitung,,6,BB,NVA,,,EnLAG Nr. 3,2023,4: Genehmigt oder im Bau,,,,Zusätzliche 380kV Freileitung
50HzT-003,,,,,AC,,,,,,,,,1,2023,40,,,3,,1,,,,,,line,EnLAG,3,,Vierraden,,Bertikow,,,,Ausbau,,*,*,380,"Errichtung einer Leitung: Neubau in neuer Trasse,
Errichtung einer Lei-
tung: Ersatzneubau",Leitung,,3,BB,NVA,,,EnLAG Nr. 3,2023,4: Genehmigt oder im Bau,,,,Zusätzliche 380kV Freileitung
50HzT-007,,,,,AC,,,,,,,,,1,2022,40,,75,,,,,,,,,line,EnLAG,11,Neuenhagen – Wustermark,Umspannwerk Neuenhagen,,Wustermark,,,,Ausbau&Betand,,14,61,380,"Errichtung einer Leitung: Neubau in neuer Trasse,
Errichtung einer Lei-
tung: Ersatzneubau",Leitung,,,BB,NVA,,,EnLAG Nr. 11,2022,4: Genehmigt oder im Bau,,,,
50HzT-P34,,,,,AC,,,,,,,,,1,2028,40,,64,,,,,,,,,line,BBPIG,39,Perleberg – Stendal / West – Wolmirstedt,Perleberg,,Stendal West,,,,Bestand,,,64,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,"BB, ST",NV,,,BBP Nr. 39,2028,"3: vor oder im PFV/ Genehmigung nach BImSchG,
5: Realisiert",,,,
50HzT-P34,,,,,AC,,,,,,,,,1,2023,40,,37,,,,,,,,,line,BBPIG,39,,Stendal West,,Wolmirstedt,,,,Bestand,,,37,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,"BB, ST",NV,,,BBP Nr. 39,"2022,
2023","3: vor oder im PFV/ Genehmigung nach BImSchG,
5: Realisiert",,,,
50HzT-P34,,,,,AC,,,,,,,,,1,2023,40,,37,,,,,,,,,line,BBPIG,39,Parchim / Süd – Perleberg,Parchim,,Perleberg,,,,Bestand,,,37,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,"MV, BB",NV,,,BBP Nr. 39,"2022,
2023",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,
50HzT-P34,,,,,AC,,,,,,,,,1,2026,40,,53,,,,,,,,,line,BBPIG,39,x,Güstrow,,Parchim,,,,Bestand,,,53,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,MV,NV,,,BBP Nr. 39,"2025,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,
50HzT-P36,,,,,AC,,,,,,,,,1,2026,40,,32,,,,,,,,,line,BBPIG,11,Bertikow – Pasewalk,Bertikow,,Pasewalk,,,,Bestand,,,32,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,"BB, MV",NV,,,BBP Nr. 11,"2025,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,
50HzT-P38,,,,,AC,,,,,,,,,1,2025,40,,105,,,,,,,,,line,BBPIG,13,Pulgar – Geußnitz (Abschnitt Ost),Pulgar,,Vieselbach,,,,Bestand,,,105,380,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,,,SN,NV,,,BBP Nr. 13,"2024,
2025",4: Genehmigt oder im Bau,,,,
50HzT-P39,,,,,AC,,,,,,,,,1,2025,40,,66,,,,,,,,,line,BBPIG,14,Röhrsdorf – Weida (Abschnitt Ost),Röhrsdorf,,Weida,,,,Bestand,,,66,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,"SN, TH",NV,,,BBP Nr. 14,"2024,
2025",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,
50HzT-P39,,,,,AC,,,,,,,,,1,2026,40,,43,,,,,,,,,line,BBPIG,14,Weida – Remptendorf (Abschnitt West),Weida,,Remptendorf,,,,Bestand,,,43,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,TH,NV,,,BBP Nr. 14,"2025,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,
50HzT-P180,,,,,AC,,,,,,,,,1,2026,40,,28,,,,,,,,,cable,,,Marzahn – Friedrichshain – Mitte – Charlottenburg – Reuter – Teufelsbruch (cabel),Marzahn,,Friedrichshain,,,,Bestand,,,28,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,BE,NV,,,,"2025,
2026","1: Vorbereitung Planungs- und Ge- nehmigungsverfahren, 3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,M406
50HzT-P180,,,,,AC,,,,,,,,,1,2030,40,,,,,,,,,,,cable,,,,Friedrichshain,,Mitte,,,,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,BE,NV,,,,2030,"1: Vorbereitung Planungs- und Ge- nehmigungsverfahren, 3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,
50HzT-P180,,,,,AC,,,,,,,,,1,2030,40,,,,,,,,,,,cable,,,,Mitte,,Charlottenburg,,,,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,BE,NV,,,,2030,"1: Vorbereitung Planungs- und Ge- nehmigungsverfahren, 3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,
50HzT-P180,,,,,AC,,,,,,,,,1,2030,40,,,,,,,,,,,cable,,,,Charlottenburg,,Reuter,,,,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,BE,NV,,,,2030,"1: Vorbereitung Planungs- und Ge- nehmigungsverfahren, 3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,
50HzT-P180,,,,,AC,,,,,,,,,1,2030,40,,,,,,,,,,,cable,,,,Reuter,,Teufelsbruch,,,,Bestand,,,*,,,,,,,,,,,2030,,,,,
50HzT-P213,,,,,AC,,,,,,,,,1,2035,40,,8,6,,2,,,,,,line,EnLAG,12,Interkonnektor DE – PL,Eisenhüttenstadt,,punkt Deutsch-Polnischen,,,18.902232738057837 51.57212911875295,Ausbau,,8,,380,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,,6,BB,,x,,EnLAG Nr. 12,,2: Im ROV/BFP,,,,double line
50HzT-P213,,,,,AC,,,,,,,,,1,2035,40,,7,,,,,,,,,line,EnLAG,12,Einschleifung Eisenhüttenstadt,Eisenhüttenstadt,,Leitung Preilack – Neuenhagen,,,14.511141400000001 52.161618600000004,Ausbau,,7,,380,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,,,BB,,,,EnLAG Nr. 12,2035,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,
50HzT-P221,,,,,DC,,,,,700,,,,1,2035,40,,60,2,,1,,,,,,cable,BBP,69,DC-Kabel Hansa PowerBridge (HPB,Umspannwerk Güstrow,,Punkt Bridge (HPB),,,12.294273 54.488703,Ausbau,,60,,,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,700,,MV,,x,,BBP Nr. 69,2035,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,"HVDC, startpoint from Hansabridge I: Umspannwerk güstrow"
50HzT-P450,,,,,AC,,,,,,,,,1,2024,40,,89,,,,,,,,,line,BBP,61,Ragow – Streumen,Ragow,,Streumen,,,,Bestand,,,89,,horizontal,Leitung,,,"BB, SN",NO,,,BBP Nr. 61,2024,4: Genehmigt oder im Bau,,,,
AMP-001,,,,,AC,,,,,2700,,,,1,2022,40,,33,,,,,,,,,line,EnLAG,2,Wehrendorf – St. Hülfe,Wehrendorf,,Punkt Lemförde,,,8.37266130421446 52.47441724607989,Bestand,,,33,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,2700,,NI,NV,,,EnLAG Nr. 2,2022,4: Genehmigt oder im Bau,,,,4000A
AMP-001,,,,,AC,,,,,2700,,,,1,2023,40,,,,,,,,,,,line,EnLAG,2,,Punkt Lemförde,,Station Sankt Hülfe,,8.37266130421446 52.47441724607989,,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,2700,,NI,NV,,,EnLAG Nr. 2,2023,4: Genehmigt oder im Bau,,,,4000A
AMP-009,,,,,AC,,,,,,,,,1,2023,40,,73,,,,,,,,,line,EnLAG,5,Niederrhein – Punkt Wettringen,Niederrhein,,Punkt Wettringen,,,7.3512625985165405 52.22420146066771,Bestand,,,73,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,NW,NV,x,,EnLAG Nr. 5,2023,"3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,
AMP-009,,,,,AC,,,,,,,,,1,2023,40,,12,,,,,,,,,cable,EnLAG,5,Niederrhein – Punkt Wettringen (Kabel),Niederrhein,,Punkt Wettringen (Kabel),,,7.3512625985165405 52.22420146066771,Bestand,,,12,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,NW,NV,x,,EnLAG Nr. 5,2023,4: Genehmigt oder im Bau,,,,
AMP-009,,,,,AC,,,,,,,,,1,2023,40,,65,,,,,,,,,line,EnLAG,5,Punkt Wettringen – Punkt Meppen,Punkt Wettringen,,Meppen,,7.3512625985165405 52.22420146066771,,Ausbau,,65,,380,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,,,"NI, NW",,x,,EnLAG Nr. 5,2023,"3: vor oder im PFV/ Genehmigung nach BImSchG
4: Genehmigt oder im Bau",,,,
AMP-010,,,,,AC,,,,,,,,,1,2027,40,,14,,,,,,,,,line,EnLAG,"16,18",Punkt Gaste – Lüstringen,Punkt Gaste,,Lüstringen,,7.929254 52.2638602,,Bestand,,,14,380,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,,,NI,NV,,,"EnLAG Nr. 16,
18","2025,
2027",4: Genehmigt oder im Bau,,,,
AMP-010,,,,,AC,,,,,,,,,1,2028,40,,21,,,,,,,,,line,EnLAG,"16,18",Lüstringen – Wehrendorf,Lüstringen,,Wehrendorf,,,,Bestand,,,21,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,NI,NV,,,"EnLAG Nr. 16,
18","2026,
2028",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,
AMP-010,,,,,AC,,,,,,,,,1,2028,40,,29,,,,,,,,,line,EnLAG,"16,18",Lüstringen – Hesseln,Lüstringen,,Hesseln,,,,Bestand,,,29,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,"NI, NW",NV,,,"EnLAG Nr. 16,
18","2027,
2028",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,
AMP-010,,,,,AC,,,,,,,,,1,2027,40,,29,,,,,,,,,line,EnLAG,"16,18",Hesseln – Gütersloh,Hesseln,,Blankenhagen,,,,Bestand,,,29,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,NW,NV,,,"EnLAG Nr. 16,
18","2026,
2027",4: Genehmigt oder im Bau,,,,
AMP-014,,,,,AC,,,,,,,,,1,2021,40,,7,,,,,,,,,line,EnLAG,"14,15",Punkt Fellerhöfe – Punkt St. Tönis,Punkt Fellerhöfe,,Station St. Tönis,,6.5881942 51.2842253,,Bestand,,,7,380,Errichtung einer Leitung: Ersatzneubau,Leitung,,,NW,NV,,,"EnLAG Nr. 14,
15",2021,4: Genehmigt oder im Bau,,,,
AMP-014,,,,,AC,,,,,,,,,1,2021,40,,6.5,,,,,,,,,line,EnLAG,"14,15",Punkt St. Tönis – Punkt Hüls-West,Station St. Tönis,,Punkt Hüls-West,,,6.4866761 51.3771562,Bestand,,,6.5,380,Änderung oder Erweiterung einer Leitung: Zuoder Umbeseilung,Leitung,,,NW,NV,,,"EnLAG Nr. 14,
15",2021,4: Genehmigt oder im Bau,,,,
AMP-014,,,,,AC,,,,,,,,,1,2021,40,,14,,,,,,,,,line,EnLAG,"14,15",Utfort – Pkt. Hüls-West,Utfort,,Punkt Hüls-West,,,6.4866761 51.3771562,Bestand,,,14,380,Errichtung einer Leitung: Ersatzneubau,Leitung,,,NW,NV,,,"EnLAG Nr. 14,
15",2021,4: Genehmigt oder im Bau,,,,
AMP-014,,,,,AC,,,,,,,,,1,2021,40,,20,,,,,,,,,line,EnLAG,"14,15",Osterath – Gohrpunkt,Osterath,,Gohrpunkt,,,,Bestand,,,20,380,Errichtung einer Leitung: Ersatzneubau,Leitung,,,NW,NV,,,"EnLAG Nr. 14,
15",2021,4: Genehmigt oder im Bau,,,,
AMP-014,,,,,AC,,,,,,,,,1,2021,40,,10,,,,,,,,,line,EnLAG,"14,15",Gohrpunkt – Rommerskirchen,Gohrpunkt,,Rommerskirchen,,,,Bestand,,,10,380,Errichtung einer Leitung: Ersatzneubau,Leitung,,,NW,NV,,,"EnLAG Nr. 14,
15",2021,4: Genehmigt oder im Bau,,,,
AMP-014,,,,,AC,,,,,,,,,1,2021,40,,50,,,,,,,,,line,EnLAG,"14,15",Utfort – Osterath,Utfort,,Osterath,,,,Bestand,,,50,380,Änderung oder Erweiterung einer Leitung: Zuoder Umbeseilung,Leitung,,,NW,NV,,,"EnLAG Nr. 14,
15",2021,4: Genehmigt oder im Bau,,,,
AMP-014,,,,,AC,,,,,,,,,1,2021,40,,2,,,,,,,,,line,EnLAG,"14,15",Punkt Birkenhof – Gellep,Punkt Birkenhof,,Gellep,,6.5881942 51.2842253,6.6758761 51.3239503,Bestand,,,2,380,Errichtung einer Leitung: Ersatzneubau,Leitung,,,NW,NV,,,"EnLAG Nr. 14,
15",2021,4: Genehmigt oder im Bau,,,,
AMP-018,,,,,AC,,,,,,,,,1,2021,40,,38,6,,2,,,,,,line,15,15,Rommerskirchen – Sechtem,Rommerskirchen,,Sechtem,,,,Bestand,,,38,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,6,NW,NV,,,15,2021,4: Genehmigt oder im Bau,,,,"one existing, two new circuit"
AMP-022,,,,,AC,,,,,,,,,1,2024,40,,21,,,,,,,,,line,EnLAG,19,Kruckel – Punkt Ochsenkopf,Kruckel,,Garenfeld,,,,Bestand,,,21,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,NW,NV,,,EnLAG Nr. 19,"2022,
2024",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,new constructuion
AMP-022,,,,,AC,,,,,,,,,1,2024,40,,105,,,,,,,,,line,EnLAG,19,Kruckel – Punkt Ochsenkopf,Garenfeld,,Altenkleusheim,,,,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,NW,NV,,,EnLAG Nr. 19,"2022,
2024",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,new constructuion
AMP-022,,,,,AC,,,,,,,,,1,2025,40,,,,,,,,,,,line,EnLAG,19,Punkt Ochsenkopf – Dauersberg,Altenkleusheim,,Setzer Wiese,,,,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,"NW, RP",NV,x,,EnLAG Nr. 19,"2021/
2025,
2022/
2026","3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,new constructuion
AMP-022,,,,,AC,,,,,,,,,1,2025,40,,,,,,,,,,,line,EnLAG,19,Punkt Ochsenkopf – Dauersberg,Setzer Wiese,,Eiserfeld,,,,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,"NW, RP",NV,x,,EnLAG Nr. 19,"2021/
2025,
2022/
2026","3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,new constructuion
AMP-022,,,,,AC,,,,,,,,,1,2025,40,,,,,,,,,,,line,EnLAG,19,Punkt Ochsenkopf – Dauersberg,Eiserfeld,,Dauersberg,,,,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,"NW, RP",NV,x,,EnLAG Nr. 19,"2021/
2025,
2022/
2026","3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,new constructuion
AMP-028,,,,,AC,,,,,,,,,1,2025,40,,5,,,,,,,,,line,,,Punkt Wanne – Punkt Günnigfeld,Station Wanne,,Punkt Günnigfeld,,,7.1462924 51.504831300000006,Bestand,,,5,380,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,,,NW,NV,,,,"2024/
2025,
2025/
2026",1: Vorbereitung Planungs- und Geneh- migungsverfahren,,,,
AMP-032,,,,,AC,,,,,,,,,1,2026,40,,21,,,,,,,,,line,EnLAG,14,Niederrhein – Utfort,Niederrhein,,Utfort,,,,Bestand,,,21,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,NW,NV,,,EnLAG Nr. 14,"2024,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,
AMP-P21,,,,,AC,,,,,,,,,1,2030,40,,31,,,,,,,,,line,BBPIG,6,Regelzonengrenze TTG / AMP – Merzen,Regelzonengrenze TTG/AMP,,Merzen,,7.911058 52.693343,7.867899 52.476150,Ausbau,,31,,380,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,,,"NI, NW",,x,,BBP Nr. 6,"2025 (Provisorium) /2030, 2026 (Provisorium) /2031",3: vor oder im Planfeststellungsverfahren/Genehmigung nach Bundes-Immissionsschutzgesetz,,,,
AMP-P41,,,,,AC,,,,,,,,,1,2027,40,,105,,,,,,,,,line,BBPIG,15,Punkt Metternich – Niederstedem,Punkt Metternich,,Wengerohr,,7.502132 50.347319,,Bestand,,,105,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,RP,NV,,,BBP Nr. 15,"2026,
2027",3: vor oder im Planfeststellungsverfahren/Genehmigung nach Bundes-Immissionsschutzgesetz,,,,
AMP-P41,,,,,AC,,,,,,,,,1,2027,40,,,,,,,,,,,line,BBPIG,15,Punkt Metternich – Niederstedem,Wengerohr,,Niederstedem,,,,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,RP,NV,,,BBP Nr. 15,"2026,
2027",3: vor oder im Planfeststellungsverfahren/Genehmigung nach Bundes-Immissionsschutzgesetz,,,,
AMP-P47,,,,,AC,,,,,,,,,1,2024,40,,66,,,,,,,,,line,BBPIG,19,Urberach – Pfungstadt – Weinheim,Urberach,,Pfungstadt,,,,Ausbau,,6,60,380,"Errichtung einer Leitung: Neubau in neuer Trasse, Errichtung einer
Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,,,"HE, BW",NVA,x,,BBP Nr. 19,2024,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,
AMP-P47,,,,,AC,,,,,,,,,1,2025,40,,,,,,,,,,,line,BBPIG,19,,Pfungstadt,,Weinheim,,,,Bestand,,,*,380,"Errichtung einer Leitung: Neubau in neuer Trasse, Errichtung einer
Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,,,"HE, BW",NVA,x,,BBP Nr. 19,"2024,
2025",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,
AMP-P47a,,,,,AC,,,,,,,,,1,2025,40,,11,,,,,,,,,line,BBPIG,76,Punkt Kriftel – Farbwerke Höchst-Süd,Kriftel,,Farbwerke Höchst-Süd,,,8.537219075722877 50.078085067548315,Bestand,,,11,380,"Errichtung einer Leitung: Ersatzneubau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,,,HE,NV,,,BBP Nr. 76,"2024,
2025",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,
AMP-P52,,,,,AC,,,,,,,,,1,2024,40,,61,,,,,,,,,line,BBPIG,24,Punkt Rommelsbach – Herbertingen,Punkt Rommelsbach,,Herbertingen,,9.218223100000001 48.5324241,,Bestand,,,61,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,,,BW,NV,,,BBP Nr. 24,"2022,
2024",4: Genehmigt oder im Bau,,,,
AMP-P52,,,,,AC,,,,,,,,,1,2021,40,,88,,,,,,,,,line,BBPIG,25,Punkt Wullenstetten – Punkt Niederwangen,Punkt Wullenstetten,,Dellmensingen,,10.0546761 48.3111892,,Bestand,,,88,380,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,,,"BY, BW",NV,x,,BBP Nr. 25,2021,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,
AMP-P52,,,,,AC,,,,,,,,,1,2021,40,,88,,,,,,,,,line,BBPIG,25,Punkt Wullenstetten – Punkt Niederwangen,Dellmensingen,,Punkt Niederwangen,,,9.834098087806701 47.68900236297533,Bestand,,,*,380,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,,,"BY, BW",NV,x,,BBP Nr. 25,2021,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,
AMP-P310,,,,,AC,,,,,,,,,1,2023,40,,285,,,,,,,,,line,,,Bürstadt – Kühmoos (Kühmoos-Maximiliansau-Weingarten-Mutterstadt-Lambsheim-Bürstadt),Bürstadt,,Lambsheim,,,,Bestand,,,285,380,"Errichtung einer Leitung: Ersatzneubau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,,,"HE,
RP, BW",NV,,,,2023,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,"M485, HTLS"
AMP-P310,,,,,AC,,,,,,,,,1,2023,40,,,,,,,,,,,line,,,,Lambsheim,,Mutterstadt,,,,Bestand,,,*,380,"Errichtung einer Leitung: Ersatzneubau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,,,"HE,
RP, BW",NV,,,,2023,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,"M485, HTLS"
AMP-P310,,,,,AC,,,,,,,,,1,2023,40,,,,,,,,,,,line,,,,Mutterstadt,,Weingarten,,,,Bestand,,,*,380,"Errichtung einer Leitung: Ersatzneubau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,,,"HE,
RP, BW",NV,,,,2023,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,"M485, HTLS"
AMP-P310,,,,,AC,,,,,,,,,1,2023,40,,,,,,,,,,,line,,,,Weingarten,,Maximiliansau,,,,Bestand,,,*,380,"Errichtung einer Leitung: Ersatzneubau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,,,"HE,
RP, BW",NV,,,,2023,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,"M485, HTLS"
